,Year,ProbRange,AboveZero,BelowZero
0,2018,0%以上10%未満,14,2
1,2018,10%以上20%未満,12,8
2,2018,20%以上30%未満,22,6
3,2018,30%以上40%未満,16,9
4,2018,40%以上50%未満,26,25
5,2018,50%以上60%未満,15,10
6,2018,60%以上70%未満,10,10
7,2018,70%以上80%未満,8,15
8,2018,80%以上90%未満,8,5
9,2018,90%以上100%未満,13,2
10,2019,0%以上10%未満,1,1
11,2019,10%以上20%未満,5,1
12,2019,20%以上30%未満,4,2
13,2019,30%以上40%未満,14,14
14,2019,40%以上50%未満,33,24
15,2019,50%以上60%未満,23,14
16,2019,60%以上70%未満,20,12
17,2019,70%以上80%未満,7,12
18,2019,80%以上90%未満,10,14
19,2019,90%以上100%未満,9,13
20,2020,0%以上10%未満,1,0
21,2020,10%以上20%未満,4,2
22,2020,20%以上30%未満,10,14
23,2020,30%以上40%未満,9,23
24,2020,40%以上50%未満,33,62
25,2020,50%以上60%未満,18,51
26,2020,60%以上70%未満,2,4
27,2020,70%以上80%未満,0,0
28,2020,80%以上90%未満,0,1
29,2020,90%以上100%未満,0,1
30,2021,0%以上10%未満,0,2
31,2021,10%以上20%未満,2,1
32,2021,20%以上30%未満,5,1
33,2021,30%以上40%未満,7,5
34,2021,40%以上50%未満,22,6
35,2021,50%以上60%未満,35,16
36,2021,60%以上70%未満,24,18
37,2021,70%以上80%未満,27,20
38,2021,80%以上90%未満,24,14
39,2021,90%以上100%未満,6,2
40,2022,0%以上10%未満,0,0
41,2022,10%以上20%未満,1,0
42,2022,20%以上30%未満,3,0
43,2022,30%以上40%未満,9,4
44,2022,40%以上50%未満,45,45
45,2022,50%以上60%未満,63,33
46,2022,60%以上70%未満,18,6
47,2022,70%以上80%未満,7,2
48,2022,80%以上90%未満,4,0
49,2022,90%以上100%未満,0,0
50,2023,0%以上10%未満,0,0
51,2023,10%以上20%未満,0,0
52,2023,20%以上30%未満,1,0
53,2023,30%以上40%未満,16,0
54,2023,40%以上50%未満,31,5
55,2023,50%以上60%未満,9,11
56,2023,60%以上70%未満,3,4
57,2023,70%以上80%未満,7,0
58,2023,80%以上90%未満,3,0
59,2023,90%以上100%未満,2,0
