,Year,ProbRange,AboveZero,BelowZero
0,2018,0%以上10%未満,4,1
1,2018,10%以上20%未満,15,1
2,2018,20%以上30%未満,12,8
3,2018,30%以上40%未満,10,11
4,2018,40%以上50%未満,20,18
5,2018,50%以上60%未満,18,11
6,2018,60%以上70%未満,16,21
7,2018,70%以上80%未満,13,11
8,2018,80%以上90%未満,12,3
9,2018,90%以上100%未満,24,7
10,2019,0%以上10%未満,6,4
11,2019,10%以上20%未満,5,5
12,2019,20%以上30%未満,13,6
13,2019,30%以上40%未満,17,15
14,2019,40%以上50%未満,36,18
15,2019,50%以上60%未満,12,14
16,2019,60%以上70%未満,12,11
17,2019,70%以上80%未満,10,14
18,2019,80%以上90%未満,7,11
19,2019,90%以上100%未満,8,9
20,2020,0%以上10%未満,0,1
21,2020,10%以上20%未満,5,3
22,2020,20%以上30%未満,5,3
23,2020,30%以上40%未満,8,13
24,2020,40%以上50%未満,45,101
25,2020,50%以上60%未満,10,24
26,2020,60%以上70%未満,4,7
27,2020,70%以上80%未満,0,3
28,2020,80%以上90%未満,0,2
29,2020,90%以上100%未満,0,1
30,2021,0%以上10%未満,8,0
31,2021,10%以上20%未満,5,2
32,2021,20%以上30%未満,4,5
33,2021,30%以上40%未満,18,5
34,2021,40%以上50%未満,32,10
35,2021,50%以上60%未満,27,16
36,2021,60%以上70%未満,26,20
37,2021,70%以上80%未満,18,11
38,2021,80%以上90%未満,13,11
39,2021,90%以上100%未満,1,5
40,2022,0%以上10%未満,2,1
41,2022,10%以上20%未満,1,0
42,2022,20%以上30%未満,3,3
43,2022,30%以上40%未満,6,4
44,2022,40%以上50%未満,47,38
45,2022,50%以上60%未満,80,36
46,2022,60%以上70%未満,6,6
47,2022,70%以上80%未満,4,0
48,2022,80%以上90%未満,1,2
49,2022,90%以上100%未満,0,0
50,2023,0%以上10%未満,0,0
51,2023,10%以上20%未満,3,0
52,2023,20%以上30%未満,5,0
53,2023,30%以上40%未満,5,2
54,2023,40%以上50%未満,12,9
55,2023,50%以上60%未満,14,9
56,2023,60%以上70%未満,6,0
57,2023,70%以上80%未満,13,0
58,2023,80%以上90%未満,8,0
59,2023,90%以上100%未満,6,0
