,Year,ProbRange,AboveZero,BelowZero
0,2018,0%以上10%未満,0,0
1,2018,10%以上20%未満,0,0
2,2018,20%以上30%未満,0,0
3,2018,30%以上40%未満,2,0
4,2018,40%以上50%未満,62,65
5,2018,50%以上60%未満,57,50
6,2018,60%以上70%未満,0,0
7,2018,70%以上80%未満,0,0
8,2018,80%以上90%未満,0,0
9,2018,90%以上100%未満,0,0
10,2019,0%以上10%未満,0,0
11,2019,10%以上20%未満,0,0
12,2019,20%以上30%未満,0,0
13,2019,30%以上40%未満,3,0
14,2019,40%以上50%未満,48,33
15,2019,50%以上60%未満,64,67
16,2019,60%以上70%未満,6,12
17,2019,70%以上80%未満,0,0
18,2019,80%以上90%未満,0,0
19,2019,90%以上100%未満,0,0
20,2020,0%以上10%未満,0,1
21,2020,10%以上20%未満,9,7
22,2020,20%以上30%未満,11,27
23,2020,30%以上40%未満,16,22
24,2020,40%以上50%未満,27,35
25,2020,50%以上60%未満,29,24
26,2020,60%以上70%未満,8,14
27,2020,70%以上80%未満,3,2
28,2020,80%以上90%未満,0,0
29,2020,90%以上100%未満,0,0
30,2021,0%以上10%未満,0,0
31,2021,10%以上20%未満,5,6
32,2021,20%以上30%未満,7,4
33,2021,30%以上40%未満,5,0
34,2021,40%以上50%未満,23,4
35,2021,50%以上60%未満,105,68
36,2021,60%以上70%未満,7,3
37,2021,70%以上80%未満,0,0
38,2021,80%以上90%未満,0,0
39,2021,90%以上100%未満,0,0
40,2022,0%以上10%未満,0,0
41,2022,10%以上20%未満,0,0
42,2022,20%以上30%未満,1,0
43,2022,30%以上40%未満,22,12
44,2022,40%以上50%未満,87,66
45,2022,50%以上60%未満,28,20
46,2022,60%以上70%未満,0,4
47,2022,70%以上80%未満,0,0
48,2022,80%以上90%未満,0,0
49,2022,90%以上100%未満,0,0
50,2023,0%以上10%未満,0,0
51,2023,10%以上20%未満,0,0
52,2023,20%以上30%未満,0,0
53,2023,30%以上40%未満,0,0
54,2023,40%以上50%未満,52,26
55,2023,50%以上60%未満,3,10
56,2023,60%以上70%未満,0,1
57,2023,70%以上80%未満,0,0
58,2023,80%以上90%未満,0,0
59,2023,90%以上100%未満,0,0
