,Year,ProbRange,AboveZero,BelowZero
0,2018,0%以上10%未満,3,7
1,2018,10%以上20%未満,13,20
2,2018,20%以上30%未満,14,24
3,2018,30%以上40%未満,13,19
4,2018,40%以上50%未満,15,10
5,2018,50%以上60%未満,26,5
6,2018,60%以上70%未満,24,17
7,2018,70%以上80%未満,7,6
8,2018,80%以上90%未満,5,3
9,2018,90%以上100%未満,1,4
10,2019,0%以上10%未満,0,0
11,2019,10%以上20%未満,3,4
12,2019,20%以上30%未満,6,2
13,2019,30%以上40%未満,14,14
14,2019,40%以上50%未満,30,22
15,2019,50%以上60%未満,35,20
16,2019,60%以上70%未満,14,27
17,2019,70%以上80%未満,10,14
18,2019,80%以上90%未満,8,8
19,2019,90%以上100%未満,1,1
20,2020,0%以上10%未満,0,0
21,2020,10%以上20%未満,8,14
22,2020,20%以上30%未満,7,22
23,2020,30%以上40%未満,20,20
24,2020,40%以上50%未満,24,12
25,2020,50%以上60%未満,22,32
26,2020,60%以上70%未満,19,20
27,2020,70%以上80%未満,3,10
28,2020,80%以上90%未満,0,2
29,2020,90%以上100%未満,0,0
30,2021,0%以上10%未満,1,1
31,2021,10%以上20%未満,3,3
32,2021,20%以上30%未満,11,9
33,2021,30%以上40%未満,19,14
34,2021,40%以上50%未満,24,11
35,2021,50%以上60%未満,20,23
36,2021,60%以上70%未満,29,8
37,2021,70%以上80%未満,28,11
38,2021,80%以上90%未満,13,4
39,2021,90%以上100%未満,4,1
40,2022,0%以上10%未満,7,1
41,2022,10%以上20%未満,6,10
42,2022,20%以上30%未満,11,12
43,2022,30%以上40%未満,26,9
44,2022,40%以上50%未満,27,27
45,2022,50%以上60%未満,31,19
46,2022,60%以上70%未満,16,16
47,2022,70%以上80%未満,11,7
48,2022,80%以上90%未満,3,1
49,2022,90%以上100%未満,0,0
50,2023,0%以上10%未満,0,0
51,2023,10%以上20%未満,5,3
52,2023,20%以上30%未満,9,1
53,2023,30%以上40%未満,7,5
54,2023,40%以上50%未満,12,9
55,2023,50%以上60%未満,6,13
56,2023,60%以上70%未満,7,5
57,2023,70%以上80%未満,7,1
58,2023,80%以上90%未満,2,0
59,2023,90%以上100%未満,0,0
